VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,trip_duration_min
2,2019-01-10 18:52:21,2019-01-10 18:52:21,1,0.03,1,N,107,107,2,2.5,1.0,0.5,0.0,0.0,0.3,4.3,,0.0
2,2019-01-10 00:00:00,2019-01-10 00:00:00,1,2.55,1,N,107,87,1,12.0,1.0,0.5,2.76,0.0,0.3,16.56,,0.0
1,2019-01-10 20:18:08,2019-01-10 20:18:08,1,1.3,1,N,264,264,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,,0.0
2,2019-01-10 22:06:21,2019-01-10 22:06:21,1,0.01,5,N,264,161,1,60.0,0.0,0.0,12.0,0.0,0.0,72.0,,0.0
1,2019-01-11 07:18:13,2019-01-11 07:18:13,2,13.6,1,N,132,217,1,64.35,0.0,0.5,0.0,0.0,0.3,65.15,,0.0
1,2019-01-11 08:29:01,2019-01-11 08:29:01,1,12.0,1,N,163,45,1,55.8,0.0,0.5,0.0,0.0,0.3,56.6,,0.0
2,2019-01-11 08:49:41,2019-01-11 08:49:41,1,0.47,5,N,216,132,1,65.0,0.0,0.0,13.0,0.0,0.0,78.0,,0.0
2,2019-01-11 09:02:20,2019-01-11 09:02:20,1,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
2,2019-01-11 00:00:00,2019-01-11 00:00:00,3,5.03,1,N,230,13,2,20.5,0.0,0.5,0.0,0.0,0.3,21.3,,0.0
1,2019-01-11 12:09:40,2019-01-11 12:09:40,1,3.6,1,N,144,144,2,19.0,0.0,0.5,0.0,0.0,0.3,19.8,,0.0
1,2019-01-11 14:28:00,2019-01-11 14:28:00,2,18.0,2,N,132,230,1,69.46,0.0,0.5,0.0,0.0,0.3,70.26,,0.0
2,2019-01-11 15:36:19,2019-01-11 15:36:19,1,0.2,2,N,138,132,1,52.0,0.0,0.5,5.0,5.76,0.3,63.56,,0.0
1,2019-01-11 15:10:53,2019-01-11 15:10:53,1,2.1,1,N,239,239,1,11.5,0.0,0.5,3.05,0.0,0.3,15.35,,0.0
2,2019-01-11 17:48:37,2019-01-11 17:48:37,2,0.01,1,N,264,264,2,2.5,1.0,0.5,0.0,0.0,0.3,4.3,,0.0
1,2019-01-11 18:45:26,2019-01-11 18:45:26,1,3.8,1,N,256,256,1,16.5,1.0,0.5,4.55,0.0,0.3,22.85,,0.0
1,2019-01-11 19:24:06,2019-01-11 19:24:06,1,2.1,1,N,68,68,1,12.0,1.0,0.5,3.45,0.0,0.3,17.25,,0.0
1,2019-01-11 21:47:46,2019-01-11 21:47:46,1,0.3,1,N,107,107,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,,0.0
1,2019-01-11 23:40:03,2019-01-11 23:40:03,1,2.5,1,N,79,79,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,,0.0
2,2019-01-12 00:00:00,2019-01-12 00:00:00,1,3.76,1,N,107,236,2,21.0,0.5,0.5,0.0,0.0,0.3,22.3,,0.0
2,2019-01-12 00:00:00,2019-01-12 00:00:00,1,1.08,1,N,249,107,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,,0.0
2,2019-01-12 06:02:07,2019-01-12 06:02:07,1,0.01,2,N,264,264,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,0.0
2,2019-01-12 08:00:59,2019-01-12 08:00:59,5,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
2,2019-01-12 00:00:00,2019-01-12 00:00:00,1,17.27,2,N,132,163,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,0.0
2,2019-01-12 15:44:44,2019-01-12 15:44:44,6,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
1,2019-01-12 17:31:10,2019-01-12 17:31:10,4,1.5,1,N,264,264,1,10.0,0.0,0.5,1.0,0.0,0.3,11.8,,0.0
1,2019-01-12 17:16:11,2019-01-12 17:16:11,0,1.0,1,N,262,262,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35,,0.0
2,2019-01-12 18:07:00,2019-01-12 18:07:00,2,0.02,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
1,2019-01-12 22:47:07,2019-01-12 22:47:07,1,0.4,1,N,186,186,1,3.5,0.5,0.5,0.95,0.0,0.3,5.75,,0.0
2,2019-01-13 00:17:06,2019-01-13 00:17:06,1,4.98,1,N,107,40,1,16.0,0.5,0.5,4.61,5.76,0.3,27.67,,0.0
1,2019-01-13 00:07:23,2019-01-13 00:07:23,2,1.8,1,N,233,233,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15,,0.0
2,2019-01-13 00:00:00,2019-01-13 00:00:00,1,7.49,1,N,158,116,2,23.5,0.5,0.5,0.0,0.0,0.3,24.8,,0.0
2,2019-01-13 09:49:48,2019-01-13 09:49:48,1,0.03,2,N,264,161,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36,,0.0
1,2019-01-13 10:51:39,2019-01-13 10:51:39,1,3.2,1,N,74,74,1,12.0,0.0,0.5,1.5,0.0,0.3,14.3,,0.0
1,2019-01-13 12:16:22,2019-01-13 12:16:22,1,3.2,1,N,66,66,1,12.0,0.0,0.5,2.55,0.0,0.3,15.35,,0.0
1,2019-01-13 15:06:34,2019-01-13 15:06:34,0,1.1,1,N,158,158,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8,,0.0
1,2019-01-13 15:15:27,2018-12-25 07:37:43,3,7.6,1,N,164,145,2,29.5,0.0,0.5,0.0,5.76,0.3,36.06,,-27817.733333333334
1,2019-01-13 15:38:08,2019-01-13 15:38:08,2,1.2,1,N,249,249,1,6.5,0.0,0.5,1.45,0.0,0.3,8.75,,0.0
2,2019-01-13 18:37:56,2019-01-13 18:37:56,1,0.02,5,N,264,161,1,69.0,0.0,0.0,13.8,0.0,0.0,82.8,,0.0
1,2019-01-13 18:20:30,2019-01-13 18:20:30,1,0.7,1,N,143,143,1,6.0,1.0,0.5,1.55,0.0,0.3,9.35,,0.0
2,2019-01-13 21:46:49,2019-01-13 21:46:49,1,0.02,5,N,142,142,1,69.0,0.0,0.0,13.8,0.0,0.0,82.8,,0.0
1,2019-01-14 05:52:49,2019-01-14 05:52:49,1,0.9,1,N,162,162,4,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,0.0
1,2019-01-14 08:22:38,2019-01-14 08:22:38,1,23.4,2,N,132,4,1,67.76,0.0,0.5,0.0,0.0,0.3,68.56,,0.0
2,2019-01-14 08:53:05,2019-01-14 08:53:05,1,0.07,2,N,264,264,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,0.0
2,2019-01-14 00:00:00,2019-01-14 00:00:00,1,1.36,1,N,125,246,1,8.0,0.0,0.5,1.32,0.0,0.3,10.12,,0.0
2,2019-01-14 14:38:37,2019-01-14 14:38:37,1,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
1,2019-01-14 15:16:20,2019-01-14 15:16:20,1,0.7,1,N,264,264,1,5.0,0.0,0.5,2.0,0.0,0.3,7.8,,0.0
1,2019-01-14 16:19:24,2019-01-14 16:19:24,2,16.0,1,N,138,231,1,74.86,0.0,0.5,0.0,0.0,0.3,75.66,,0.0
1,2019-01-14 18:03:36,2019-01-14 18:03:36,1,1.6,1,N,239,239,1,8.0,1.0,0.5,1.95,0.0,0.3,11.75,,0.0
2,2019-01-14 00:00:00,2019-01-14 00:00:00,1,1.95,1,N,237,230,2,11.0,1.0,0.5,0.0,0.0,0.3,12.8,,0.0
2,2019-01-15 05:15:19,2019-01-15 05:15:19,2,0.02,1,N,264,264,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,0.0
2,2019-01-15 06:56:02,2019-01-15 06:56:02,1,0.06,1,N,226,226,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
1,2019-01-15 07:32:07,2019-01-15 07:32:07,1,1.1,1,N,138,33,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8,,0.0
1,2019-01-15 13:49:40,2019-01-15 13:49:40,0,1.9,1,Y,75,75,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3,,0.0
2,2019-01-15 13:17:15,2019-01-15 13:17:15,1,0.24,1,N,264,264,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3,,0.0
2,2019-01-15 00:00:00,2019-01-15 00:00:00,1,1.36,1,N,140,237,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8,,0.0
2,2019-01-15 17:08:32,2019-01-15 17:08:32,1,0.01,1,N,264,264,2,2.5,1.0,0.5,0.0,0.0,0.3,4.3,,0.0
1,2019-01-15 20:51:47,2019-01-15 20:51:47,2,0.7,1,N,170,170,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,,0.0
1,2019-01-15 22:05:38,2019-01-15 22:05:38,1,3.9,1,N,239,239,1,16.5,0.5,0.5,3.55,0.0,0.3,21.35,,0.0
2,2019-01-16 00:19:02,2019-01-16 00:19:02,5,18.06,2,N,132,107,1,52.0,0.0,0.5,10.0,5.76,0.3,68.56,,0.0
2,2019-01-16 01:05:13,2019-01-16 01:05:13,1,0.01,1,N,264,264,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,0.0
2,2019-01-16 06:34:50,2019-01-16 06:34:50,1,0.03,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
1,2019-01-16 08:43:40,2019-01-16 08:43:40,1,2.0,1,N,161,161,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3,,0.0
1,2019-01-16 09:37:08,2019-01-16 09:37:08,1,7.5,1,N,82,82,2,22.0,0.0,0.5,0.0,0.0,0.3,22.8,,0.0
2,2019-01-16 18:06:55,2019-01-16 18:06:55,1,2.3,1,N,264,74,2,9.0,1.0,0.5,0.0,0.0,0.3,10.8,,0.0
2,2019-01-16 18:59:34,2019-01-16 18:59:34,1,0.63,1,N,264,161,1,5.5,1.0,0.5,1.0,0.0,0.3,8.3,,0.0
1,2019-01-16 18:52:38,2019-01-16 18:52:38,1,3.7,1,N,263,263,1,15.5,1.0,0.5,0.7,0.0,0.3,18.0,,0.0
